Name,Price,ProductDetails,Link
MSI GF63 Thin Intel Core i5 8GB 512GB GTX 1650 144Hz 15.6 Inch Windows 11 Gaming Laptop,£529.97,"Intel Core i5 11400H Processor, GeForce GTX 1650 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/msi-gf63-thin-core-i5-11400h-8gb-512gb-15.6-inch-windows-11-home-gaming-lap-9s7-16r612-496/version.asp
Asus TUF Gaming F15 Intel Core i5 8GB 512GB RTX 2050 144Hz FHD 15.6 Inch Windows 11 Home Gaming Laptop,£597.97,"Intel Core i5 11400H Processor, GeForce RTX 2050 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/asus-tuf-gaming-f15-intel-core-i5-11400h-8gb-ram-512gb-ssd-nvidia-rtx-2050-fx506hf-hn001w/version.asp
Refurbished HP Zbook 15 G6 Core i7 9th gen 32GB 1TB SSD Quadro T2000 15.6 Inch Windows 11 Professional Laptop,£849.97,"Intel Core i7 CORE I7-9850H 2.60 GHZ Processor, QUADRO T2000  / MAX-Q Graphics card, 15.6 Inch 1366 x 768 Screen, 32GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/refurbished-hp-zbook-15-g6-core-i7-9th-gen-32gb-1tb-ssd-quadro-t2000-15.6-i-t1-zb15g6i732gb1tbw11p/version.asp
HP ProBook 635 Aero G8 AMD Ryzen 5 8GB RAM 256GB SSD 13.3 Inch FHD Windows 10 Pro Laptop,£429.97,"AMD Ryzen 5 5600U Processor, Radeon Graphics Graphics card, 13.3 Inch Full HD Screen, 8GB RAM, 256GB SSD",https://www.laptopsdirect.co.uk/-43a03ea/version.asp
MSI Katana 17 Intel Core i7 16GB 1TB SSD RTX 4050 144Hz 17.3 Inch Windows 11 Gaming Laptop,£1099.97,"Intel Core i7 13620H Processor, GeForce RTX 4050 Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/msi-katana-17-intel-core-i7-13620h-16gb-1tb-ssd-geforce-rtx-4050-17.3-inch-9s7-17l541-015/version.asp
MSI Pulse 15 Core i7-13700H 16GB 1TB SSD RTX 4060 165Hz QHD 15.6 Inch Gaming Laptop + Backpack and Mouse,£1197.97,"Intel Core i7 13700H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/msi-pulse-15-intel-core-i7-13700h-16gb-1tb-ssd-geforce-rtx-4060-15.6-inch-g-9s7-158561-295/version.asp
MSI Thin GF63 Intel Core i5 8GB 512GB RTX 4050 144Hz 15.6 Inch Windows 11 Gaming Laptop,£769.97,"Intel Core i5 12450H Processor, GeForce RTX 4050 Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/msi-thin-gf63-intel-core-i5-12450h-8gb-512gb-ssd-geforce-4050-15.6-inch-gam-9s7-16r821-049/version.asp
HP Victus 16-e0038na Ryzen 7 16GB 512GB RTX 3060 144Hz FHD 16 Inch Windows 10 Gaming Laptop,£1099.97,"AMD Ryzen 7 5800H Processor, GeForce RTX 3060 Graphics card, 16.1 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/hp-victus-16-e0038na-ryzen-7-5800h-16gb-512gb-ssd-16-inch-rtx-3060-windows-4h2b4ea/version.asp
Medion Erazer Major X20 Intel Core i9 32GB 1TB RTX 4070 240Hz QHD 16 Inch Windows 11 Gaming Laptop,£1897.97,"Intel Core i9 13900HX Processor, GeForce RTX 4070 8GB Graphics card, 16 Inch 2560 x 1600 Screen, 32GB RAM, 1TB SSD",https://www.laptopsdirect.co.uk/medion-erazer-nb-major-x20-16-qhd-240hz-intel-core-i9-13900hx-32-gb-1-tb-30035515/version.asp
Lenovo Legion 5 AMD Ryzen 7 16GB 512GB RTX 3060 165Hz 15.6 Inch Windows 11 Home Gaming Laptop,£1299.97,"AMD Ryzen 7 6800H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 512GB SSD",https://www.laptopsdirect.co.uk/lenovo-legion-5-amd-ryzen-7-6800h-16gb-512gb-ssd-rtx-3060-15.6-inch-windows-82rd000buk/version.asp
